"","subj","n","translation"
"1","ジリジリ",2,"шипение"
"2","ノック",2,"стук"
"3","シャワー",2,"ливень"
"4","争い",2,"конфликт"
"5","五月雨",2,"летний дождь"
"6","叫び声",2,"крик"
"7","吐き気",2,"тошнота"
"8","呼び声",2,"зов"
"9","咳",2,"кашель"
"10","哀しみ",2,"состралание"
"11","声",6,"голос"
"12","夢",2,"сон"
"13","大雨",3,"ливень"
"14","妄想",2,"дикая фантазия"
"15","幻聴",3,"слуховая галлюцинация"
"16","幻覚",2,"галлюцинация"
"17","後悔",6,"раскаяние"
"18","念仏",2,"нэмбуцу"
"19","思考",2,"мысль"
"20","恋心",2,"любовное чувство"
"21","愛しさ",2,"любовь"
"22","感傷癖",2,"сентиментальность"
"23","我が儘",2,"эгоизм"
"24","春雨",4,"весенний дождь"
"25","春風",2,"весенний ветер"
"26","期待",2,"надежды"
"27","涙",16,"слезы"
"28","眩暈",2,"головокружение"
"29","空腹",4,"голод"
"30","笑い声",2,"смех"
"31","羨望",2,"зависть"
"32","耳鳴り",17,"звон в ушах"
"33","胸騒ぎ",4,"беспокойство"
"34","説教",2,"нравоучение"
"35","高鳴り",2,"громкий звон"
"36","酸性雨",2,"кислотный дождь"
"37","雨",176,"дождь"
"38","雨音",7,"звуки дождя"
"39","雪",9,"снег"
"40","音",25,"звук"
"41","頭痛",2,"головная боль"
"42","風",2,"ветер"
"43","風化",2,"ветровая эрозия"
"44","鼓動",8,"биение сердца"
"45","鼻血",2,"носовое кровотечение"
"46","tears",6,"слезы"
"47","ためいき",2,"вздох"
"48","カーテンコール",1,"вызов актера"
"49","クラップ",1,"хлопки"
"50","サイレン",1,"сирена"
"51","サヨナラウタ",1,"прощальная песнь"
"52","ステップ",1,"шаг"
"53","チャイム",1,"колокольчик"
"54","ナイトメア",2,"кошмар"
"55","ノイズ",1,"шум"
"56","ビート",3,"ритм"
"57","メロディ",1,"мелодия"
"58","ループ",2,"цикл"
"59","ワルツ",1,"вальс"
"60","不安",1,"беспокойство"
"61","傷",1,"рана"
"62","喝采",2,"аплодисменты"
"63","喧騒",1,"шум"
"64","声援",1,"ободряющий возглас"
"65","夜",1,"ночь"
"66","嵐",1,"гроза"
"67","心拍",1,"сердечный ритм"
"68","心臓音",1,"звук сердца"
"69","悦び",1,"радость"
"70","想い",2,"чувства"
"71","感情",3,"эмоция"
"72","憂い",1,"печаль"
"73","戦い",1,"война"
"74","旋律",3,"мелодия"
"75","歌声",3,"поющий голос"
"76","歓声",1,"радостный возглас"
"77","水音",1,"шум воды"
"78","流星",1,"падающая звезда"
"79","熱",1,"жар"
"80","疑い",1,"сомнение"
"81","痛み",2,"боль"
"82","警鐘",1,"набат"
"83","責任",1,"ответственность"
"84","跫音",1,"звук шагов"
"85","通り雨",1,"короткий ливень"
"86","雑音",1,"шум"
"87","雨水",1,"дождевая вода"
"88","雨涙",1,"ливень слез"
"89","雨空",2,"грозящее дождем небо"
"90","電話",2,"телефон"
"91","霧雨",1,"мелкий дождь"
