"","subj","n","translation"
"1","お金",1,"деньги"
"2","たくわえ",1,"запас"
"3","ちから",1,"сила"
"4","ともしび",1,"свет"
"5","やる気",1,"намерение"
"6","アドレナリン",3,"адреналин"
"7","ジェラシー",1,"зависть"
"8","ストック",1,"запас"
"9","チカラ",1,"сила"
"10","ネタ",4,"доказательство"
"11","一滴",1,"капля"
"12","万策",1,"все средства"
"13","不安",1,"тревога"
"14","世界",1,"мир"
"15","相談",1,"идея"
"16","今日",1,"сегодня"
"17","体",1,"тело"
"18","体力",1,"физическая сила"
"19","便箋",1,"почтовая бумага"
"20","光",3,"свет"
"21","全力",1,"все силы"
"22","刻",1,"время"
"23","力",50,"сила"
"24","命",77,"жизнь"
"25","命運",1,"судьба"
"26","嘘",1,"ложь"
"27","声",3,"голос"
"28","夜",1,"ночь"
"29","夢",1,"сон"
"30","天地",1,"мир"
"31","好奇心",1,"любопытство"
"32","孤独",1,"одиночество"
"33","寿命",1,"срок"
"34","希望",1,"надежда"
"35","底",2,"дно"
"36","弾",2,"пуля"
"37","心",1,"сердце"
"38","思い",2,"мысль"
"39","性欲",1,"половое влечение"
"40","恋",1,"любовь"
"41","悩み",6,"страдания"
"42","悪だくみ",1,"интрига"
"43","悪気",1,"злоба"
"44","悲しみ",2,"печаль"
"45","想い",8,"чувство"
"46","想像",1,"воображение"
"47","愛",2,"любовь"
"48","愛情",1,"привязанность"
"49","愛想",17,"вежливость"
"50","感情",1,"эмоции"
"51","感謝",1,"благодарность"
"52","戦",1,"война"
"53","戦士",1,"воин"
"54","手紙",1,"письмо"
"55","日",1,"день"
"56","日常",1,"повседневность"
"57","時",3,"время"
"58","時間",2,"время"
"59","期待",1,"надежды"
"60","期限",1,"срок"
"61","未知",2,"неизвестность"
"62","材料",1,"материалы"
"63","欲望",4,"страстное желание"
"64","涙",6,"слезы"
"65","願い",3,"мольба"
"66","温もり",1,"тепло"
"67","滴",1,"капля"
"68","火",2,"огонь"
"69","灯火",5,"свет"
"70","生命",1,"жизнь"
"71","疑問",1,"вопрос"
"72","矢",1,"стрела"
"73","私",1,"я"
"74","種",2,"семена"
"75","羽",1,"перья"
"76","能力",1,"способность"
"77","興味",4,"интерес"
"78","舟",1,"лодка"
"79","苦しみ",1,"страдание"
"80","血",2,"кровь"
"81","言い訳",1,"отговорка"
"82","言葉",3,"слово"
"83","話",1,"рассказ"
"84","路",1,"путь"
"85","身",2,"тело"
"86","運",9,"удача"
"87","運命",1,"судьба"
"88","道",2,"дорога"
"89","雫",2,"капля"
"90","電池",1,"батарейка"
"91","風",1,"ветер"
"92","食糧",1,"продовольствие"
"93","魔法",1,"волшебство"
"94","デマカセ",1,"безответственные слова"
"95","ヘイト",1,"ненависть"
"96","メモリー",1,"воспоминание"
"97","ロジック",1,"логика"
"98","予感",1,"предчувствие"
"99","優しさ",3,"доброта"
"100","困難",1,"трудности"
"101","夢心地",1,"сонливость"
"102","好奇",1,"любознательность"
"103","妬み",1,"зависть"
"104","宿命",1,"судьба"
"105","審議",1,"обсуждение"
"106","山",1,"горы"
"107","憎しみ",1,"ненависть"
"108","最期",2,"последние минуты жизни"
"109","欺瞞",1,"обман"
"110","水",1,"вода"
"111","深さ",1,"глубина"
"112","渇き",1,"жажда"
"113","煩悩",1,"мирские вожделения"
"114","犠牲",1,"жертва"
"115","狂おしさ",1,"безумие"
"116","輪光",1,"гало"
