"","subj","n","translation"
"1","お金",1,"деньги"
"2","やる気",3,"намерение"
"3","カード",1,"карточка"
"4","テスト",1,"тест"
"5","バス停",1,"автобусная остановка"
"6","バッヂ",1,"значок"
"7","パーツ",1,"части"
"8","ホコリ",1,"пыль"
"9","ルール",1,"правило"
"10","不安",1,"беспокойство"
"11","世界",5,"мир"
"12","争い",6,"конфликт"
"13","争い事",1,"диспут"
"14","人",2,"человек"
"15","人影",1,"человеческий силуэт"
"16","人波",1,"людские толпы"
"17","今日",1,"сегодня"
"18","仕事",1,"работа"
"19","学校",3,"школа"
"20","会社",3,"фирма"
"21","体",2,"тело"
"22","余裕",1,"свобода действий"
"23","使命",3,"роль"
"24","価値",2,"ценность"
"25","便箋",1,"почтовая бумага"
"26","保証",1,"гарантия"
"27","個性",1,"индивидуальность"
"28","傷",2,"рана"
"29","僕",7,"я"
"30","元気",1,"хорошее настроение"
"31","光",4,"свет"
"32","入場券",1,"входной билет"
"33","冷たさ",1,"холод"
"34","刺激",1,""стимул
"35","力",2,"сила"
"36","勇気",1,"храбрость"
"37","原発",1,"атомная электростанция"
"38","口",1,"рот"
"39","名",1,"имя"
"40","名前",2,"имя"
"41","名札",2,"табличка с именем"
"42","君",9,"ты"
"43","味",2,"вкус"
"44","命",2,"жизнь"
"45","哀しみ",1,"сострадание"
"46","国",1,"страна"
"47","地球",1,"Земля"
"48","場所",2,"место"
"49","塩",1,"соль"
"50","境",1,"граница"
"51","境界",1,"граница"
"52","境目",3,"граница"
"53","声",8,"голос"
"54","多数",1,"большинство"
"55","少数",1,"меньшинство"
"56","夢",2,"сон"
"57","太陽",1,"солнце"
"58","妄想",1,"дикая фантазия"
"59","姿",1,"фигура"
"60","字",1,"иероглиф"
"61","存在",2,"существование"
"62","存在意義",1,"смысл бытия"
"63","実態",1,"текущая обстановка"
"64","居場所",3,"местонахождение"
"65","帰り道",1,"обратный путь"
"66","彗星",1,"комета"
"67","形",2,"форма"
"68","影",2,"тень"
"69","心",8,"сердце"
"70","必要",1,"необходимость"
"71","思い出",2,"воспоминания"
"72","恋",1,"любовь"
"73","息",1,"дыхание"
"74","悲劇",2,"трагедия"
"75","想い",5,"чувство"
"76","想像",1,"воображение"
"77","執念",1,"настойчивость"
"78","意味",8,"смысл"
"79","意識",1,"сознание"
"80","歌",2,"песня"
"81","愛",1,"любовь"
"82","愛情",1,"привязанность"
"83","感情",5,"эмоция"
"84","自我",1,"я сам"
"85","感触",1,"чувство осязания"
"86","憎しみ",2,"ненависть"
"87","憐憫",3,"сострадание"
"88","手",1,"рука"
"89","足",2,"нога"
"90","手がかり",1,"опора для рук"
"91","日",3,"день"
"92","日常",2,"повседневность"
"93","明日",5,"завтра"
"94","星",2,"звезда"
"95","昨日",1,"вчера"
"96","時間",8,"время"
"97","曖昧さ",1,"неясность"
"98","月",1,"луна"
"99","未来",2,"будущее"
"100","楽しみ",2,"радость"
"101","樹",1,"дерево"
"102","欲",1,"желание"
"104","残り香",1,"остаточный запах"
"105","残弾",1,"оставшиеся пули"
"106","毛糸",2,"шерстяная нить"
"107","民主",2,"демократия"
"108","気持ち",1,"чувство"
"109","水",2,"вода"
"110","永遠",1,"вечность"
"111","涙",2,"слезы"
"112","渇き",1,"жажда"
"113","片足",2,"одна нога"
"114","特別",1,"исключительность"
"115","犯罪",1,"преступление"
"116","理性",1,"разум"
"117","痛み",1,"боль"
"118","真実",2,"правда"
"119","砂",1,"песок"
"120","私",7,"я"
"122","空",1,"небо"
"123","笑顔",1,"улыбка"
"124","答え",2,"ответ"
"125","綿毛",1,"пух"
"126","背中",1,"спина"
"127","色",2,"цвет"
"128","芝生",1,"лужайка"
"129","悲しみ",2,"горе"
"130","苦しみ",2,"мучение"
"131","荷物",1,"багаж"
"132","薬",1,"лекарство"
"133","蠅",1,"муха"
"134","行くあて",1,"цель"
"135","覚悟",1,"готовность"
"136","言い訳",1,"отговорка"
"137","言葉",1,"слово"
"138","記憶",20,"память"
"140","言い回し",3,"словесный оборот"
"141","話",3,"разговор"
"142","諭吉",1,"купюра в 10 000 йен"
"143","貴方",2,"ты"
"144","足もと",1,"шаги"
"145","距離",3,"расстояние"
"146","跡形",4,"следы"
"147","輝き",1,"блеск"
"148","返事",1,"ответ"
"149","運命",1,"судьба"
"150","過去",1,"прошлое"
"151","道",2,"дорога"
"152","部分",1,"доля"
"153","酸素",1,"кислород"
"154","重力",1,"сила тяжести"
"155","金平糖",1,"конфеты"
"156","銃弾",1,"пуля"
"157","隔たり",1,"отчужденность"
"158","震え",1,"дрожь"
"159","音",6,"звук"
"160","顔",1,"лицо"
"161","風",3,"ветер"
"162","駄菓子屋",1,"кондитерский магазин"
"163","鳥達",1,"птицы"
"164","HP",1,"очки здоровья"
"165","ヘジテーション",1,"нерешительность"
"166","世界音",1,"звуки мира"
"167","公園",1,"парк"
"168","口数",1,"количество слов"
"169","幻",1,"привидение"
"171","楽園",2,"рай"
"172","歯車",1,"шестеренка"
"173","玩具",1,"игрушка"
"174","絵の具",1,"краски"
